state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,churn_prob,churn_pred,risk_tier
NY,106,408,422-1471,no,no,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,False,0.0016236464,0,Low
AZ,93,415,399-7865,no,no,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,False,0.0047092214,0,Medium
WY,164,510,373-4819,no,no,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9.0,3,2.43,1,False,0.6842234,1,High
WA,51,408,338-6981,no,no,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1,False,0.00074644247,0,Low
CO,107,415,418-4365,no,no,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0,False,0.005683126,0,Medium
TX,130,415,359-5461,no,no,0,176.9,109,30.07,90.7,104,7.71,238.0,69,10.71,9.5,2,2.57,1,False,0.00061437447,0,Low
KY,80,408,375-3586,no,no,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,False,0.99937254,1,High
MT,94,415,407-8376,no,no,0,137.5,118,23.38,203.2,88,17.27,150.0,131,6.75,13.4,2,3.62,0,False,0.0004363718,0,Low
OK,118,408,408-6496,no,yes,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,False,0.1341111,0,High
MD,117,415,385-7688,no,yes,23,198.1,86,33.68,177.0,86,15.05,180.5,92,8.12,6.8,6,1.84,1,False,0.9917813,1,High
TN,78,415,332-6934,no,no,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0,False,0.01745214,0,Medium
TX,208,510,378-3625,no,no,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,True,0.019648762,0,Medium
ME,131,510,353-7292,yes,yes,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,True,0.23734745,0,High
DC,63,408,399-6786,no,no,0,83.0,64,14.11,177.0,106,15.05,245.7,89,11.06,13.0,3,3.51,0,False,0.001041387,0,Low
MN,53,415,358-3261,no,yes,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,False,0.0026216456,0,Low
DE,62,408,377-9932,no,no,0,182.3,101,30.99,328.2,93,27.9,245.0,131,11.03,11.2,1,3.02,2,False,0.01047849,0,Medium
MD,97,415,397-4030,no,no,0,218.0,86,37.06,184.0,94,15.64,240.5,110,10.82,6.4,8,1.73,3,False,0.053437438,0,High
MI,105,510,367-1062,no,no,0,140.6,109,23.9,178.6,51,15.18,217.0,83,9.76,6.8,3,1.84,2,False,0.001430863,0,Low
WA,157,415,341-8467,no,no,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,False,0.0012451819,0,Low
MO,66,415,339-9453,no,yes,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1,False,0.8487045,1,High
IN,122,415,344-3388,no,no,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,False,0.0019146212,0,Low
OR,38,415,375-8013,no,no,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,False,0.8655418,1,High
MD,106,510,408-4142,no,no,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,False,0.004690761,0,Medium
RI,99,510,386-3671,no,no,0,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,3,False,0.9957912,1,High
LA,99,415,411-2284,no,no,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,False,0.9659513,1,High
AZ,144,510,346-7795,yes,no,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,False,0.0952727,0,High
PA,82,415,333-5609,no,yes,24,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,False,0.0045888405,0,Medium
AZ,86,408,405-1842,no,yes,31,167.6,139,28.49,113.0,118,9.61,246.9,121,11.11,12.2,6,3.29,1,False,0.08658588,0,High
FL,70,510,366-6345,yes,no,0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2,True,0.01705023,0,Medium
LA,93,415,337-9345,no,no,0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3,False,0.003811243,0,Medium
FL,93,415,328-6770,no,no,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,False,0.0022120704,0,Low
FL,120,415,380-7321,no,no,0,180.0,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3,False,0.020619597,0,Medium
MD,136,415,375-1476,no,no,0,250.2,121,42.53,267.1,118,22.7,151.0,114,6.8,13.0,2,3.51,1,True,0.0044536726,0,Medium
AL,106,415,356-1567,no,no,0,223.0,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92,0,False,0.0012106547,0,Low
WA,81,415,422-6685,no,no,0,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,3,False,0.0013882747,0,Low
TN,127,408,336-1090,no,yes,22,166.0,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,False,0.99956936,1,High
MS,65,415,343-2095,no,no,0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1,False,0.1519853,0,High
ME,35,408,345-3934,no,no,0,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2,False,0.011070557,0,Medium
OK,88,408,338-8050,no,no,0,65.4,97,11.12,168.2,76,14.3,236.0,113,10.62,13.8,1,3.73,2,False,0.013840719,0,Medium
IN,65,415,388-9568,no,no,0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,False,0.011966144,0,Medium
MO,123,415,402-6591,no,no,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,False,0.92806727,1,High
IA,126,408,403-6419,no,yes,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,False,0.33797973,0,High
VA,104,415,386-9790,no,yes,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4,False,0.038726866,0,High
KY,45,415,378-5692,no,yes,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,False,0.9998541,1,High
MD,93,408,360-3324,yes,no,0,312.0,109,53.04,129.4,100,11.0,217.6,74,9.79,10.5,2,2.84,0,True,4.8519443e-05,0,Low
OH,63,415,410-3719,yes,yes,36,199.0,110,33.83,291.3,111,24.76,197.6,92,8.89,11.0,6,2.97,1,False,0.55299354,1,High
OK,100,415,352-4221,no,no,0,203.1,96,34.53,217.0,126,18.45,180.9,122,8.14,13.5,2,3.65,3,False,0.0067023835,0,Medium
NV,53,415,327-6179,no,no,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,False,0.04520086,0,High
ID,92,415,359-6196,yes,no,0,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9.0,5,2.43,1,False,0.005851755,0,Medium
MN,139,510,374-9107,no,no,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,True,0.00018784827,0,Low
SD,110,408,357-4078,no,yes,40,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9.0,9,2.43,2,False,0.006378984,0,Medium
IL,110,408,366-5780,no,no,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,False,0.001590851,0,Low
WY,215,510,393-9619,no,no,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,False,0.0038200081,0,Medium
AL,73,415,355-9295,no,no,0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,False,0.034489878,0,High
NJ,138,510,400-5751,no,no,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,False,0.0016473884,0,Low
NV,137,415,338-1027,yes,no,0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,True,0.092854746,0,High
IN,36,415,405-8867,no,no,0,253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27,1,False,0.7660137,1,High
WV,85,408,336-5616,no,no,0,225.0,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3,False,0.0042614792,0,Medium
VA,108,408,335-1697,no,no,0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0,True,0.029772425,0,Medium
SC,22,408,331-5138,no,no,0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,False,0.03721076,0,High
RI,107,415,385-8240,no,yes,37,60.0,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3.0,0,False,0.005022329,0,Medium
IN,51,510,348-1359,no,no,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,False,0.033233173,0,High
AZ,94,408,354-7339,no,no,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,False,0.02250259,0,Medium
NM,119,510,349-1687,no,yes,23,154.0,114,26.18,278.0,137,23.63,228.4,112,10.28,11.8,4,3.19,2,False,0.001772006,0,Low
OR,33,415,380-2558,no,yes,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4,True,0.0006640738,0,Low
NJ,106,415,365-2153,no,no,0,207.9,91,35.34,172.0,109,14.62,191.8,143,8.63,14.4,7,3.89,4,False,0.014736886,0,Medium
MS,82,408,345-6043,no,no,0,207.0,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,False,0.0025108282,0,Low
MI,86,510,349-2808,no,yes,41,119.0,101,20.23,230.0,134,19.55,236.9,58,10.66,9.5,3,2.57,0,False,0.17852987,0,High
TX,97,415,411-1715,yes,no,0,143.7,117,24.43,273.0,82,23.21,178.3,81,8.02,10.9,3,2.94,0,False,0.00047795297,0,Low
FL,106,408,385-2488,no,yes,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,False,0.014794364,0,Medium
DC,108,510,377-7177,no,no,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,False,0.03598354,0,High
TX,114,415,342-1099,no,no,0,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,1,False,0.017400244,0,Medium
KS,92,408,386-4170,yes,no,0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,True,0.003659869,0,Low
UT,59,510,413-1269,no,no,0,155.2,79,26.38,235.3,123,20.0,169.4,80,7.62,8.7,4,2.35,1,False,1.0,1,High
MN,24,510,396-4460,no,yes,25,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,1,False,0.024782235,0,Medium
IL,151,408,334-2730,no,no,0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,1,False,0.00031259467,0,Low
NM,117,415,340-3182,no,no,0,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,1,False,0.47975343,0,High
SC,78,510,377-8608,no,no,0,168.3,110,28.61,221.2,73,18.8,241.0,136,10.85,12.5,1,3.38,1,False,0.0029905064,0,Low
NC,155,408,417-3676,no,no,0,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,False,0.0074965153,0,Medium
WV,114,510,417-6774,no,yes,30,206.2,79,35.05,260.0,91,22.1,291.6,83,13.12,11.4,6,3.08,1,False,0.15895487,0,High
RI,114,510,411-9554,no,yes,28,225.8,94,38.39,193.0,117,16.41,232.4,100,10.46,8.4,9,2.27,4,False,0.0030863849,0,Low
NH,119,408,420-3192,no,no,0,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,3.65,3,False,0.0030640007,0,Low
MO,64,510,389-1475,no,yes,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,False,0.48051962,0,High
MA,118,408,343-7734,yes,no,0,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,False,0.06585152,0,High
PA,101,415,410-3390,no,no,0,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,False,0.9128138,1,High
OK,117,415,344-6495,no,no,0,134.7,121,22.9,180.0,83,15.3,200.9,104,9.04,7.7,3,2.08,1,False,0.0053999578,0,Medium
AL,49,415,331-6229,no,yes,28,214.4,78,36.45,235.2,100,19.99,206.2,107,9.28,8.0,13,2.16,3,False,0.023696218,0,Medium
WY,139,415,337-7501,no,no,0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13.0,3,3.51,3,False,0.16637506,0,High
PA,92,408,339-9631,no,yes,28,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10.0,3,2.7,1,False,0.0013154823,0,Low
WA,83,415,369-4384,no,no,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,False,0.9987643,1,High
HI,148,510,416-3915,yes,no,0,218.9,88,37.21,208.0,85,17.68,203.3,99,9.15,11.1,4,3.0,0,False,0.0053717503,0,Medium
SD,144,408,339-3049,no,yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,True,0.0023529073,0,Low
AL,131,415,361-7998,no,yes,25,192.7,85,32.76,225.9,105,19.2,254.2,59,11.44,10.9,6,2.94,2,False,0.0038816086,0,Medium
VT,146,510,355-4842,yes,no,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,False,0.01962344,0,Medium
MT,143,415,387-6440,no,no,0,172.3,97,29.29,174.0,108,14.79,188.2,119,8.47,13.0,4,3.51,2,False,0.06009978,0,High
MN,81,415,369-2625,no,no,0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,False,0.9938291,1,High
AK,48,415,389-7073,no,yes,37,211.7,115,35.99,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29,1,False,0.002055701,0,Low
MI,86,415,370-8463,no,yes,28,221.6,74,37.67,288.4,100,24.51,240.3,105,10.81,9.0,2,2.43,1,False,0.051189616,0,High
DE,71,415,362-7318,no,no,0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,False,0.0005298445,0,Low
SD,145,408,412-1194,no,yes,24,147.5,90,25.08,175.7,108,14.93,252.1,102,11.34,15.6,3,4.21,2,False,0.011768284,0,Medium
MI,137,510,355-9508,no,no,0,206.4,122,35.09,128.0,102,10.88,194.5,84,8.75,8.8,5,2.38,2,False,0.020407615,0,Medium
KS,137,408,352-8202,no,no,0,205.9,88,35.0,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,2,False,0.0009673062,0,Low
AL,167,510,335-5882,no,no,0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0,False,0.43831933,0,High
OK,89,510,352-6976,no,no,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,True,0.027774325,0,Medium
CT,199,415,393-6733,no,yes,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8.0,2,2.16,0,False,0.9998424,1,High
NE,132,510,335-1838,no,no,0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,False,0.9998555,1,High
WI,94,510,355-6930,no,no,0,177.1,112,30.11,194.0,112,16.49,146.7,108,6.6,5.9,4,1.59,1,False,0.0023772449,0,Low
CT,96,415,387-5860,no,yes,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,True,0.0026696129,0,Low
WI,96,510,343-2605,no,yes,18,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1,False,0.0005195952,0,Low
IN,166,510,350-6759,no,no,0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,False,0.9810213,1,High
DC,74,415,371-1514,no,no,0,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2,False,0.0062311585,0,Medium
AR,36,415,346-9317,no,no,0,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0,False,0.029273326,0,Medium
ME,113,415,398-4313,no,no,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,False,0.08885916,0,High
MN,94,415,412-4399,no,no,0,181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78,1,False,0.023804672,0,Medium
MD,67,415,330-1835,no,no,0,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2,False,0.022806095,0,Medium
FL,127,415,416-1676,no,no,0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,True,0.43623218,0,High
RI,121,408,329-7347,no,no,0,170.4,108,28.97,350.5,68,29.79,297.0,87,13.37,11.2,3,3.02,0,True,0.004570498,0,Medium
IA,158,415,360-6868,no,no,0,158.0,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1,False,0.00043451265,0,Low
AZ,136,510,405-6641,no,no,0,92.0,117,15.64,253.6,77,21.56,214.1,90,9.63,10.3,10,2.78,1,False,0.009004161,0,Medium
MO,196,415,393-2373,no,no,0,234.0,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,False,0.023635454,0,Medium
VT,113,415,419-1714,no,no,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1,True,0.34303707,0,High
IN,122,408,336-3819,no,no,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,True,0.017024636,0,Medium
RI,112,510,341-3464,no,no,0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0,False,0.027004208,0,Medium
SD,209,415,413-5310,no,no,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,False,0.046772014,0,High
MN,62,415,366-7912,no,no,0,248.7,109,42.28,220.0,118,18.7,265.7,78,11.96,13.2,2,3.56,1,True,0.016906787,0,Medium
TX,110,415,399-8845,no,yes,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,False,0.0006164232,0,Low
VA,16,510,368-2583,no,no,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,False,0.034802083,0,High
MA,73,408,360-6309,no,no,0,94.1,136,16.0,280.3,122,23.83,205.0,77,9.23,9.8,4,2.65,0,False,0.015871951,0,Medium
ID,128,408,359-5890,no,no,0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,False,0.0018751678,0,Low
MA,39,408,332-2462,no,no,0,60.4,158,10.27,306.2,120,26.03,123.9,46,5.58,12.4,3,3.35,1,False,0.0007970485,0,Low
GA,103,415,381-9196,no,yes,28,121.0,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2,False,0.003972496,0,Medium
RI,119,415,329-3222,no,yes,29,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05,3,False,0.00064582675,0,Low
ID,173,510,363-5819,no,yes,21,232.4,96,39.51,211.9,118,18.01,273.0,102,12.29,5.0,5,1.35,3,False,0.003385155,0,Low
SD,128,510,413-9269,yes,yes,32,223.5,81,38.0,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2,True,0.0036483263,0,Low
MA,86,510,330-7483,no,no,0,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67,0,False,0.020762796,0,Medium
WY,114,415,403-7775,no,yes,32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,False,0.0048509333,0,Medium
VA,104,408,360-2479,no,no,0,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10.0,3,2.7,0,False,0.0019115901,0,Low
OR,148,415,394-3791,no,no,0,86.3,134,14.67,246.6,92,20.96,251.6,91,11.32,11.3,4,3.05,1,False,0.0026921085,0,Low
VA,129,408,384-2632,no,no,0,207.0,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,False,0.469111,0,High
ME,100,510,359-8466,no,yes,30,58.8,104,10.0,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92,0,False,0.007799805,0,Medium
AL,121,408,331-8909,no,yes,35,68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,1,False,0.02659502,0,Medium
GA,143,408,359-5160,no,yes,33,239.2,109,40.66,235.5,112,20.02,156.3,95,7.03,9.5,4,2.57,1,False,0.08941996,0,High
IA,76,510,330-9833,no,no,0,198.3,130,33.71,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,0,False,0.5253777,1,High
AZ,158,510,362-2314,no,no,0,205.2,97,34.88,240.6,77,20.45,79.7,108,3.59,14.4,12,3.89,0,False,0.99993277,1,High
FL,116,510,338-8478,no,no,0,192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,7.9,2,2.13,3,False,0.0042714053,0,Medium
MT,54,415,387-5453,no,no,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1,True,0.31489077,0,High
AL,86,415,380-3437,no,no,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,True,0.17393357,0,High
DE,108,510,365-8779,no,no,0,169.6,99,28.83,264.1,87,22.45,206.3,78,9.28,9.3,4,2.51,0,False,0.010655305,0,Medium
MT,66,510,407-2750,no,no,0,201.3,95,34.22,152.8,66,12.99,233.2,101,10.49,7.5,4,2.03,1,False,0.0019373667,0,Low
KY,151,408,396-8265,no,yes,17,214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,8.6,4,2.32,1,False,0.001356843,0,Low
SC,99,510,397-4304,no,no,0,169.2,70,28.76,271.5,77,23.08,170.2,104,7.66,10.6,2,2.86,0,False,0.014253641,0,Medium
WA,55,415,333-2611,no,no,0,194.1,121,33.0,176.6,110,15.01,302.8,136,13.63,7.0,7,1.89,2,False,0.0015149885,0,Low
OR,77,510,409-8814,no,no,0,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,False,0.00025930084,0,Low
AK,78,408,336-5406,no,no,0,225.1,67,38.27,199.2,127,16.93,175.5,102,7.9,14.6,2,3.94,0,False,0.0010155811,0,Low
GA,89,415,343-6940,no,no,0,213.0,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1,True,0.17414674,0,High
MN,101,415,361-9923,no,no,0,183.9,115,31.26,255.9,101,21.75,275.0,145,12.38,10.8,11,2.92,1,False,0.03288611,0,High
IL,44,415,350-6639,no,yes,34,221.8,105,37.71,161.7,85,13.74,227.7,62,10.25,14.0,7,3.78,0,False,0.0048873047,0,Medium
IN,98,408,376-4300,no,yes,21,64.6,98,10.98,176.1,86,14.97,244.8,84,11.02,0.0,0,0.0,2,False,0.0060086627,0,Medium
SC,64,510,349-6567,no,yes,37,154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1,False,0.026897917,0,Medium
VA,141,415,333-7749,no,no,0,260.2,131,44.23,179.2,120,15.23,135.0,119,6.08,7.2,8,1.94,3,False,0.11685224,0,High
WI,81,415,408-6089,no,yes,33,161.6,117,27.47,123.0,90,10.46,261.3,101,11.76,12.2,5,3.29,1,False,0.004747968,0,Medium
VT,162,510,375-2165,no,no,0,220.6,117,37.5,155.2,121,13.19,186.7,89,8.4,10.5,11,2.84,1,False,0.0028660232,0,Low
AZ,83,415,400-6999,no,yes,41,155.9,122,26.5,162.3,107,13.8,127.6,105,5.74,13.1,5,3.54,3,False,0.00065407663,0,Low
FL,100,510,420-7823,no,no,0,107.0,63,18.19,105.7,67,8.98,243.1,74,10.94,12.8,3,3.46,4,True,0.25897616,0,High
AK,59,510,366-5241,no,no,0,182.5,104,31.03,204.7,95,17.4,229.9,100,10.35,11.3,8,3.05,4,False,0.008311792,0,Medium
AR,179,415,413-3412,yes,yes,38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,10.1,4,2.73,4,False,0.009176328,0,Medium
AR,79,408,406-2752,no,no,0,152.2,112,25.87,177.2,132,15.06,96.4,87,4.34,5.3,3,1.43,1,False,0.16460776,0,High
AK,117,415,337-8078,no,no,0,181.5,95,30.86,205.1,88,17.43,204.0,82,9.18,14.7,9,3.97,2,False,0.057829726,0,High
MS,64,408,402-1942,yes,no,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,True,0.006074916,0,Medium
ME,31,415,371-7917,no,no,0,166.1,105,28.24,79.3,93,6.74,213.7,98,9.62,12.7,2,3.43,1,False,0.026212685,0,Medium
CA,124,408,343-6374,yes,no,0,244.6,89,41.58,188.8,80,16.05,206.0,114,9.27,11.3,4,3.05,1,False,0.0009505289,0,Low
NM,122,408,385-8730,no,yes,23,134.2,85,22.81,227.3,132,19.32,122.4,96,5.51,8.5,2,2.3,2,False,0.00015387182,0,Low
NE,37,408,393-7892,yes,yes,39,149.7,122,25.45,211.1,75,17.94,114.3,90,5.14,9.2,4,2.48,1,False,0.023087913,0,Medium
SC,90,408,407-6748,no,yes,29,150.1,109,25.52,264.7,103,22.5,178.4,97,8.03,5.8,4,1.57,1,False,0.052483544,0,High
CO,159,408,341-4463,yes,no,0,257.1,53,43.71,312.2,127,26.54,183.0,82,8.24,8.8,6,2.38,1,True,0.00030941408,0,Low
DE,148,415,351-2587,no,no,0,124.4,83,21.15,179.7,81,15.27,253.0,99,11.39,11.3,6,3.05,0,False,0.004682789,0,Medium
OH,39,415,421-9752,no,yes,36,141.7,121,24.09,232.3,113,19.75,222.1,131,9.99,12.0,5,3.24,1,False,0.0032457768,0,Low
MS,77,408,356-4001,no,no,0,230.0,87,39.1,103.2,138,8.77,309.6,136,13.93,11.3,3,3.05,2,False,0.05653019,0,High
OK,194,408,328-9869,no,no,0,162.3,88,27.59,213.7,118,18.16,192.1,81,8.64,10.9,2,2.94,0,False,0.07073214,0,High
CO,154,415,343-5709,no,no,0,350.8,75,59.64,216.5,94,18.4,253.9,100,11.43,10.1,9,2.73,1,True,0.10657033,0,High
NC,112,415,334-1872,no,no,0,193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,9.1,3,2.46,4,False,0.0002790204,0,Low
MD,45,415,350-1040,no,no,0,78.2,127,13.29,253.4,108,21.54,255.0,100,11.48,18.0,3,4.86,1,False,0.033877075,0,High
KS,132,415,369-3214,no,no,0,83.4,110,14.18,232.2,137,19.74,146.7,114,6.6,7.6,5,2.05,1,False,0.02208921,0,Medium
MA,128,415,385-6778,no,no,0,195.6,99,33.25,267.8,120,22.76,164.9,76,7.42,16.0,2,4.32,0,False,0.0015798197,0,Low
NC,135,415,383-7689,no,no,0,201.8,81,34.31,225.0,114,19.13,204.4,82,9.2,10.3,6,2.78,1,False,0.80615646,1,High
NM,56,408,385-5722,no,no,0,197.0,110,33.49,222.8,102,18.94,225.3,91,10.14,10.6,6,2.86,2,False,0.032217696,0,High
CA,151,415,357-1909,yes,no,0,218.0,57,37.06,114.4,88,9.72,269.2,95,12.11,12.4,1,3.35,0,True,0.071885794,0,High
NY,32,415,364-3567,no,no,0,164.8,98,28.02,229.9,96,19.54,167.3,108,7.53,14.8,2,4.0,2,False,0.003515916,0,Low
